,,,,,,,,
,time/ms,voltage/mV,,,,,,
,0.0000000,0,,,,,,
,0.0060714,0,,,,,,
,0.0121429,0,,,,,,
,0.0182143,0,,,,,,
,0.0242857,0,,,,,,
,0.0303571,0,,,,,,
,0.0357143,0,,,,,,
,0.0360714,0,,,,,,
,0.0364286,0.012,,,,,,
,0.0367857,0.0616,,,,,,
,0.0371429,0.0784,,,,,,
,0.0375000,0.1036,,,,,,
,0.0378571,0.108,,,,,,
,0.0382143,0.1064,,,,,,
,0.0385714,0.1044,,,,,,
,0.0389286,0.1032,,,,,,
,0.0392857,0.1016,,,,,,
,0.0396429,0.1,,,,,,
,0.0400000,0.0964,,,,,,
,0.0403571,0.094,,,,,,
,0.0407143,0.0928,,,,,,
,0.0410714,0.0908,,,,,,
,0.0414286,0.0888,,,,,,
,0.0417857,0.0872,,,,,,
,0.0421429,0.0824,,,,,,
,0.0425000,0.0804,,,,,,
,0.0428571,0.078,,,,,,
,0.0432143,0.076,,,,,,
,0.0435714,0.0748,,,,,,
,0.0439286,0.0696,,,,,,
,0.0442857,0.0684,,,,,,
,0.0446429,0.066,,,,,,
,0.0450000,0.0644,,,,,,
,0.0453571,0.0636,,,,,,
,0.0457143,0.0612,,,,,,
,0.0460714,0.0584,,,,,,
,0.0464286,0.0564,,,,,,
,0.0467857,0.054,,,,,,
,0.0471429,0.0536,,,,,,
,0.0475000,0.0508,,,,,,
,0.0478571,0.0476,,,,,,
,0.0482143,0.0456,,,,,,
,0.0485714,0.0432,,,,,,
,0.0489286,0.0416,,,,,,
,0.0492857,0.04,,,,,,
,0.0496429,0.0384,,,,,,
,0.0500000,0.0364,,,,,,
,0.0503571,0.0352,,,,,,
,0.0507143,0.0336,,,,,,
,0.0510714,0.0328,,,,,,
,0.0514286,0.0312,,,,,,
,0.0517857,0.0296,,,,,,
,0.0521429,0.0276,,,,,,
,0.0525000,0.0268,,,,,,
,0.0528571,0.0252,,,,,,
,0.0532143,0.024,,,,,,
,0.0535714,0.0216,,,,,,
,0.0539286,0.0208,,,,,,
,0.0542857,0.0192,,,,,,
,0.0546429,0.0188,,,,,,
,0.0550000,0.0176,,,,,,
,0.0553571,0.0172,,,,,,
,0.0557143,0.0164,,,,,,
,0.0560714,0.016,,,,,,
,0.0564286,0.0152,,,,,,
,0.0567857,0.0144,,,,,,
,0.0571429,0.0136,,,,,,
,0.0575000,0.0128,,,,,,
,0.0578571,0.0116,,,,,,
,0.0582143,0.0104,,,,,,
,0.0585714,0.0096,,,,,,
,0.0589286,0.0092,,,,,,
,0.0592857,0.0084,,,,,,
,0.0596429,0.008,,,,,,
,0.0600000,0.0076,,,,,,
,0.0603571,0.0072,,,,,,
,0.0607143,0.0068,,,,,,
,0.0610714,0.0064,,,,,,
,0.0614286,0.006,,,,,,
,0.0617857,0.0056,,,,,,
,0.0621429,0.0052,,,,,,
,0.0625000,0.0048,,,,,,
,0.0628571,0.0044,,,,,,
,0.0632143,0.004,,,,,,
,0.0635714,0.0036,,,,,,
,0.0639286,0.0034,,,,,,
,0.0642857,0.0032,,,,,,
,0.0646429,0.003,,,,,,
,0.0650000,0.0028,,,,,,
,0.0653571,0.0026,,,,,,
,0.0657143,0.0024,,,,,,
,0.0660714,0.0022,,,,,,
,0.0664286,0.002,,,,,,
,0.0667857,0.0018,,,,,,
,0.0671429,0.0016,,,,,,
,0.0675000,0.0014,,,,,,
,0.0678571,0.0012,,,,,,
,0.0682143,0.001,,,,,,
,0.0685714,0.000920000000000005,,,,,,
,0.0689286,0.0008,,,,,,
,0.0692857,0.000640000000000009,,,,,,
,0.0696429,0.000479999999999995,,,,,,
,0.0700000,0.0004,,,,,,
,0.0703571,0.000320000000000005,,,,,,
,0.0707143,0.000240000000000009,,,,,,
,0.0710714,0.0002,,,,,,
,0.0714286,0.000159999999999991,,,,,,
,0.0717857,0.000120000000000005,,,,,,
,0.0721429,0.0000799999999999955,,,,,,
,0.0725000,0.0000400000000000091,,,,,,
,0.0728571,0,,,,,,
,0.0730000,0,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,0.0364286,0.012,,,,,,
,0.0366071,0.0368,,,,,,
,0.0367857,0.0616,,,,,,
,0.0369643,0.07,,,,,,
,0.0371429,0.0784,,,,,,
,0.0373214,0.091,,,,,,
,0.0375000,0.1036,,,,,,
,0.0376786,0.1058,,,,,,
,0.0378571,0.108,,,,,,
